Date,Price,volume,price_eth
2022-07-27 23:15:00+00:00,22869.77167771362,31887307258.0,1626.206239583951
2022-07-27 23:30:00+00:00,22835.17876617851,31773969337.0,1625.070501469376
2022-07-27 23:45:00+00:00,22930.54844570004,31758955233.0,1636.2327104034002
2022-07-28 00:00:00+00:00,22892.222494533497,31815072985.0,1622.5801955925326
2022-07-28 00:15:00+00:00,22856.34643292004,31904970592.0,1620.9494180035597
2022-07-28 00:30:00+00:00,22800.36805493888,31975596242.0,1615.8351036792149
2022-07-28 00:45:00+00:00,22810.68629880947,32059787715.0,1617.6563683696866
2022-07-28 01:00:00+00:00,22753.129372235344,32033398843.0,1610.6193517083775
2022-07-28 01:15:00+00:00,22757.76192036148,32091042795.0,1610.0068174435105
2022-07-28 01:30:00+00:00,22768.005728755947,32127735158.0,1612.540298915646
2022-07-28 01:45:00+00:00,22771.59962789579,32130360302.0,1613.8011093608643
2022-07-28 02:00:00+00:00,22754.31387543685,32044311271.0,1612.500179744541
2022-07-28 02:15:00+00:00,22741.27693302905,32037635787.0,1610.9831746571626
2022-07-28 02:30:00+00:00,22823.10456030945,32191770673.0,1624.5728198207496
2022-07-28 02:45:00+00:00,23296.19924394051,33474229970.0,1657.251772029714
2022-07-28 03:00:00+00:00,23252.701849053847,33619209148.0,1655.782788688559
2022-07-28 03:15:00+00:00,23264.123907704587,33722485155.0,1660.590379769495
2022-07-28 03:30:00+00:00,23129.54595181061,34471436679.0,1647.6714320385051
2022-07-28 03:45:00+00:00,23142.234338224825,34608049910.0,1647.9185463797826
2022-07-28 04:00:00+00:00,23160.324944060005,34675770044.0,1649.7669415284774
2022-07-28 04:15:00+00:00,23138.97747187173,34808854983.0,1643.5076366106407
2022-07-28 04:30:00+00:00,23138.98853741833,34822636412.0,1640.0509569152418
2022-07-28 04:45:00+00:00,23107.38960777658,34899622743.0,1637.2363021234548
2022-07-28 05:00:00+00:00,23090.33090426005,34934190485.0,1634.1106235389148
2022-07-28 05:15:00+00:00,23082.297159412738,34877474040.0,1634.3409958773236
2022-07-28 05:30:00+00:00,23169.71214113245,34985319642.0,1642.640729280821
2022-07-28 05:45:00+00:00,23211.90389823048,35064470109.0,1647.3020647192288
2022-07-28 06:00:00+00:00,23171.61439267434,35091832857.0,1642.060501616082
2022-07-28 06:15:00+00:00,23157.75394243268,35109728454.0,1643.9210006380015
2022-07-28 06:30:00+00:00,23157.73667646437,35138367899.0,1644.5996933276024
2022-07-28 06:45:00+00:00,23129.106230543144,35312935966.0,1640.8704066048567
2022-07-28 07:00:00+00:00,23051.47095144618,35076732355.0,1637.187592788243
2022-07-28 07:15:00+00:00,22999.0687984921,35078204197.0,1634.2374269034754
