Date,Price,volume
2020-05-05 07:00:00+00:00,8996.27461178,42930531914.0
2020-05-05 07:15:00+00:00,9019.52348669,43252111941.0
2020-05-05 07:30:00+00:00,9007.57304522,43163132772.0
2020-05-05 07:45:00+00:00,9019.93090233,43250806781.0
2020-05-05 08:00:00+00:00,9003.92671347,43059840317.0
2020-05-05 08:15:00+00:00,9005.07898072,43059447069.0
2020-05-05 08:30:00+00:00,9006.32441412,43050038095.0
2020-05-05 08:45:00+00:00,8998.45869441,43077551592.0
2020-05-05 09:00:00+00:00,9003.92327005,42907867220.0
2020-05-05 09:15:00+00:00,9011.97595583,42774250912.0
2020-05-05 09:30:00+00:00,9031.14695992,42956354423.0
2020-05-05 09:45:00+00:00,9035.25888632,43159176745.0
2020-05-05 10:00:00+00:00,8899.35811602,43574424952.0
2020-05-05 10:15:00+00:00,8874.00639046,43786309796.0
2020-05-05 10:30:00+00:00,8878.99707221,43972347157.0
2020-05-05 10:45:00+00:00,8859.70224601,44047547232.0
2020-05-05 11:00:00+00:00,8893.41940404,44306465889.0
2020-05-05 11:15:00+00:00,8901.85771296,44357603645.0
2020-05-05 11:30:00+00:00,8898.63390539,43526641101.0
2020-05-05 11:45:00+00:00,8898.09107556,44451871789.0
2020-05-05 12:00:00+00:00,8893.02100702,44410384947.0
2020-05-05 12:15:00+00:00,8904.06771549,44409492226.0
2020-05-05 12:30:00+00:00,8891.30257317,44093687514.0
2020-05-05 12:45:00+00:00,8900.67221207,44267000692.0
2020-05-05 13:00:00+00:00,8895.6178773,44152154758.0
2020-05-05 13:15:00+00:00,8908.97372209,44144492075.0
2020-05-05 13:30:00+00:00,8927.93378852,44347261416.0
2020-05-05 13:45:00+00:00,8948.92027551,44541664814.0
2020-05-05 14:00:00+00:00,8910.48440598,44300997907.0
2020-05-05 14:15:00+00:00,8903.89154322,44206509935.0
2020-05-05 14:30:00+00:00,8884.61406211,44154852330.0
2020-05-05 14:45:00+00:00,8902.89577571,43286928107.0
2020-05-05 15:00:00+00:00,8893.13272766,43811189741.0
2020-05-05 15:15:00+00:00,8883.83520785,44049038167.0
2020-05-05 15:30:00+00:00,8893.56010182,44069344393.0
